        TIME,  PDCSAP_FLUX
 539.4499363,         null
 539.4703703,8.2153362e+05
 539.4908043,8.2172094e+05
 539.5112383,8.2174869e+05
 539.5316722,8.2180956e+05
 539.5521061,8.2188300e+05
 539.5725402,8.2198594e+05
 539.5929740,8.2209394e+05
 539.6134080,8.2219238e+05
 539.6338420,8.2224031e+05
 539.6542759,8.2237056e+05
 539.6747098,8.2244569e+05
 539.6951439,8.2256688e+05
 539.7155778,8.2268744e+05
 539.7360117,8.2274206e+05
 539.7564457,8.2288581e+05
 539.7768797,8.2294644e+05
 539.7973135,8.2296131e+05
 539.8177475,8.2311419e+05
 539.8381814,8.2319206e+05
 539.8586154,8.2321581e+05
 539.8790494,8.2332194e+05
 539.8994832,8.2333819e+05
 539.9199173,8.2339738e+05
 539.9403512,8.2343012e+05
 539.9607851,8.2352550e+05
 539.9812191,8.2351569e+05
 540.0016530,8.2360225e+05
 540.0220869,8.2359881e+05
 540.0425209,8.2355238e+05
 540.0629549,8.2353456e+05
 540.0833888,8.2344850e+05
 540.1038228,8.2342375e+05
 540.1242567,8.2334344e+05
 540.1446907,8.2335044e+05
 540.1651246,8.2322769e+05
 540.1855585,8.2325069e+05
 540.2059926,8.2312319e+05
 540.2264265,8.2312769e+05
 540.2468604,8.2306106e+05
 540.2672944,8.2299562e+05
 540.2877283,8.2298844e+05
 540.3081622,8.2293612e+05
 540.3285962,8.2300500e+05
 540.3490302,8.2297788e+05
 540.3694640,8.2303500e+05
 540.3898980,8.2302288e+05
 540.4103320,8.2302712e+05
 540.4307658,8.2304112e+05
 540.4511999,8.2302825e+05
 540.4716337,8.2299881e+05
 540.4920677,8.2305394e+05
 540.5125017,8.2299700e+05
 540.5329355,8.2299819e+05
 540.5533695,8.2304688e+05
 540.5738035,8.2300281e+05
 540.5942374,8.2301825e+05
 540.6146714,8.2299031e+05
 540.6351053,8.2299612e+05
 540.6555392,8.2302538e+05
 540.6759732,8.2303262e+05
 540.6964071,8.2307206e+05
 540.7168410,8.2314175e+05
 540.7372751,8.2311331e+05
 540.7577089,8.2308444e+05
 540.7781429,8.2307044e+05
 540.7985769,8.2301219e+05
 540.8190107,8.2302269e+05
 540.8394448,8.2307962e+05
 540.8598787,8.2311112e+05
 540.8803125,8.2319381e+05
 540.9007466,8.2318812e+05
 540.9211805,8.2321412e+05
 540.9416143,8.2329150e+05
 540.9620484,8.2334406e+05
 540.9824823,8.2333375e+05
 541.0029161,8.2340494e+05
 541.0233502,8.2341025e+05
 541.0437841,8.2347775e+05
 541.0642181,8.2354419e+05
 541.0846520,8.2360981e+05
 541.1050859,         null
 541.1255198,8.2380250e+05
 541.1459538,8.2379031e+05
 541.1663877,8.2387788e+05
 541.1868216,8.2390662e+05
 541.2072556,8.2397150e+05
 541.2276895,8.2400350e+05
 541.2481234,8.2393219e+05
