        TIME,  PDCSAP_FLUX
 131.5120950,4.6713973e+04
 131.5325296,4.6706984e+04
 131.5529642,4.6704730e+04
 131.5733986,4.6706598e+04
 131.5938331,4.6710949e+04
 131.6142678,4.6703770e+04
 131.6347022,4.6714332e+04
 131.6551367,4.6712941e+04
 131.6755714,4.6710727e+04
 131.6960059,4.6714320e+04
 131.7164403,4.6705566e+04
 131.7368749,4.6713703e+04
 131.7573095,4.6697484e+04
 131.7777439,4.6701281e+04
 131.7981784,4.6696871e+04
 131.8186131,4.6700660e+04
 131.8390475,4.6702117e+04
 131.8594820,4.6698203e+04
 131.8799166,4.6702098e+04
 131.9003511,4.6694250e+04
 131.9207856,4.6703367e+04
 131.9412202,4.6693453e+04
 131.9616547,4.6690383e+04
 131.9820892,4.6695934e+04
 132.0025237,4.6689637e+04
 132.0229582,4.6689414e+04
 132.0433928,4.6683547e+04
 132.0638273,4.6702395e+04
 132.0842618,4.6694238e+04
 132.1046963,4.6690527e+04
 132.1251309,4.6683191e+04
 132.1455654,4.6685258e+04
 132.1659999,4.6698070e+04
 132.1864345,4.6684152e+04
 132.2068690,4.6678387e+04
 132.2273035,4.6677422e+04
 132.2477380,4.6695035e+04
 132.2681726,4.6698098e+04
 132.2886071,4.6701523e+04
 132.3090416,4.6690680e+04
 132.3294762,4.6686543e+04
 132.3499107,4.6687520e+04
 132.3703452,4.6688125e+04
 132.3907797,4.6685059e+04
 132.4112142,4.6681953e+04
 132.4316488,4.6678906e+04
 132.4520833,4.6700492e+04
 132.4725179,4.6698457e+04
 132.4929524,4.6677324e+04
 132.5133869,4.6686887e+04
 132.5338213,4.6682410e+04
 132.5542559,4.6680676e+04
 132.5746905,4.6681320e+04
 132.5951249,4.6688059e+04
 132.6155595,4.6687273e+04
 132.6359941,4.6687258e+04
 132.6564286,4.6685719e+04
 132.6768630,4.6678707e+04
 132.6972976,4.6678078e+04
 132.7177322,4.6689570e+04
 132.7381666,4.6678270e+04
 132.7586012,4.6680469e+04
 132.7790358,4.6692164e+04
 132.7994702,4.6682047e+04
 132.8199047,4.6680602e+04
 132.8403393,4.6680180e+04
 132.8607738,4.6673438e+04
 132.8812083,4.6684566e+04
 132.9016429,4.6688184e+04
 132.9220774,4.6689125e+04
 132.9425119,4.6678988e+04
 132.9629464,4.6683020e+04
 132.9833810,4.6682277e+04
 133.0038155,4.6710051e+04
 133.0242500,4.6695340e+04
 133.0446845,4.6682129e+04
 133.0651190,4.6698047e+04
 133.0855536,4.6686770e+04
